hidden_size,mean_loss,var_loss,mean_acc,has_attractor
2,0.4952213828162712,0.06967149720094017,0.675,False
3,0.30562858460043574,0.09392442284610711,0.79375,False
4,0.18970953248731348,0.07958142247958197,0.875,False
5,0.13329708749754446,0.06600386287192732,0.9,False
6,0.0911090452350436,0.04151627975269604,0.94375,False
7,0.026046709248834076,0.014336447401283217,0.98125,False
8,0.03469454298062828,0.016814020652961333,0.975,False
9,0.034687258737449156,0.022819445117572064,0.975,False
10,0.01736115790415056,0.011709922278571986,0.9875,False
12,2.330667973637901e-05,8.818434559946027e-10,1.0,True
14,1.54247111481709e-05,1.3521402703630606e-10,1.0,True
16,1.2490022945144119e-05,1.0890122954706006e-10,1.0,True
20,9.462334836030095e-06,3.677888587742236e-11,1.0,True
24,7.001044977528181e-06,1.4353072689373375e-11,1.0,True
28,5.7725829805121975e-06,5.529211822267056e-12,1.0,True
32,4.922037228993759e-06,3.772256349472092e-12,1.0,True
40,4.0797044192686375e-06,5.630201519384268e-12,1.0,True
48,3.4064313780390874e-06,2.651440948235504e-12,1.0,True
56,2.748070147617909e-06,2.3059534048884006e-12,1.0,True
64,3.05620897904646e-06,1.1850062604710652e-12,1.0,True
